spotify_uri,artist_names,track_name,year,spotify_chart,tiktok_chart,spotify_chart_pos,spotify_chart_weeks,tiktok_track_pop,tiktok_artist_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo_bpm,duration_ms
spotify:track:6lknMmJZALXxx7emwwZWLX,Madonna,Frozen (Sickik Remix),2021,FALSE,TRUE,NULL,NULL,76,77,0.706,0.633,-9.584,0.0419,0.267,0.175,0.375,110.005,181733
spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawaii,2022,FALSE,TRUE,NULL,NULL,77,83,0.783,0.727,-3.454,0.389,0.185,0.0626,0.558,180.067,190476
spotify:track:3Wrjm47oTz2sjIgck11l5e,Maneskin,Beggin',2020,TRUE,TRUE,1,42,89,78,0.714,0.8,-4.808,0.0504,0.127,0,0.359,134.002,211560
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Maneskin,I WANNA BE YOUR SLAVE,2021,TRUE,FALSE,8,35,NULL,NULL,0.75,0.608,-4.008,0.0387,0.00165,0,0.178,132.507,173347
spotify:track:4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,2021,TRUE,FALSE,2,116,NULL,NULL,0.775,0.327,-7.241,0.0557,0.841,0,0.0821,91.05,189486
spotify:track:3XBbMtrFiVzZhTmi06BvXv,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes,2021,FALSE,TRUE,NULL,NULL,85,82,0.713,0.676,-5.483,0.027,0.0377,0.154,0.721,99.048,193806
spotify:track:3Z8FwOEN59mRMxDCtb8N0A,"Marshmello, Halsey",Be Kind,2020,FALSE,TRUE,NULL,NULL,83,77,0.63,0.633,-7.088,0.0457,0.00776,0.0541,0.452,93.995,187541
spotify:track:6E90gq0KO6FYZVOXx8kCcC,Masked Wolf,Astronaut In The Ocean,2020,TRUE,TRUE,3,53,84,69,0.778,0.695,-6.865,0.0913,0.175,0,0.15,149.996,132780
spotify:track:6Ve9MNsl8OFg6rHd227bYh,Megan Thee Stallion,Anxiety,2022,FALSE,TRUE,NULL,NULL,83,81,0.655,0.488,-4.601,0.208,0.506,0.347,0.619,124.097,210560
spotify:track:4DpNNXFMMxQEKl7r0ykkWA,Melanie Martinez,Play Date,2015,FALSE,TRUE,NULL,NULL,78,78,0.707,0.955,-4.593,0.222,0.127,0.202,0.575,125.989,160191
spotify:track:3iw6V4LH7yPj1ESORX9RIN,Nathan Evans,The Wellerman - TikTok Remix,2021,FALSE,TRUE,NULL,NULL,78,76,0.722,0.893,-3.255,0.0475,0.0441,0.0673,0.439,119.932,160000
spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",BETTER DAYS,2022,FALSE,TRUE,NULL,NULL,83,68,0.717,0.671,-5.077,0.0337,0.0018,0.0921,0.699,110.054,226088
spotify:track:1nFtiJxYdhtFfFtfXBv06s,Nirvana,Something in the Way,2019,TRUE,FALSE,4,168,NULL,NULL,0.501,0.405,-5.679,0.0319,0.751,0,0.105,109.891,182161
spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,2021,FALSE,TRUE,NULL,NULL,80,76,0.7,0.49,-5.187,0.076,0.186,0.117,0.569,79.982,186173
spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,2021,TRUE,TRUE,1,45,85,88,0.563,0.664,-5.044,0.154,0.335,0,0.0849,166.928,178147
spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,2020,TRUE,TRUE,1,63,89,88,0.561,0.431,-8.81,0.0578,0.768,1.42E-05,0.106,143.875,242013
spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,2021,TRUE,FALSE,3,51,NULL,NULL,0.442,0.612,-7.222,0.112,0.584,5.70E-06,0.37,180.917,215507
spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,2021,TRUE,FALSE,7,44,NULL,NULL,0.38,0.339,-7.885,0.0338,0.691,0,0.12,100.607,229227
spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,2021,TRUE,TRUE,3,40,77,68,0.789,0.536,-6.862,0.242,0.41,0,0.129,81.039,165926
spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,2020,FALSE,TRUE,NULL,NULL,83,81,0.709,0.548,-8.493,0.353,0.65,0.133,0.543,83.995,203064
spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,2019,TRUE,FALSE,1,134,NULL,NULL,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,120.042,215280
spotify:track:6Ole34qqbgkZ60IyrcVm7e,"Post Malone, Roddy Ricch, Mark Morrison",Cooped Up,2022,FALSE,TRUE,NULL,NULL,83,89,0.669,0.773,-5.619,0.153,0.038,0.113,0.377,93.923,146471
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - from Spider-Man: Into the Spider-Verse,2018,TRUE,FALSE,1,179,NULL,NULL,0.755,0.522,-4.368,0.0575,0.533,0,0.0685,89.96,157560
spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beebadoobee",death bed (coffee for your head),2022,FALSE,TRUE,NULL,NULL,82,70,0.726,0.431,-8.765,0.135,0.731,0.696,0.348,144.026,211560
